Area|Ethnic group|Age group|Birthplace|Year|Value|Flags
"Clutha District"|"Total people - ethnic group"|"Total people - age group"|"Australia"|"2018"|222|
"Clutha District"|"Total people - ethnic group"|"Total people - age group"|"Pacific Islands"|"2018"|183|
"Clutha District"|"Total people - ethnic group"|"Total people - age group"|"New Zealand"|"2018"|15498|
"Dunedin City"|"Total people - ethnic group"|"Total people - age group"|"Sub-Saharan Africa"|"2018"|1338|
"Dunedin City"|"Total people - ethnic group"|"Total people - age group"|"Southern and Central Asia"|"2018"|1641|
"Dunedin City"|"Total people - ethnic group"|"Total people - age group"|"The Americas"|"2018"|2100|
"Dunedin City"|"Total people - ethnic group"|"Total people - age group"|"South-East Asia"|"2018"|2349|
"Dunedin City"|"Total people - ethnic group"|"Total people - age group"|"North-East Asia"|"2018"|2895|
"Dunedin City"|"Total people - ethnic group"|"Total people - age group"|"Southern and Eastern Europe"|"2018"|600|
"Dunedin City"|"Total people - ethnic group"|"Total people - age group"|"North Africa and the Middle East"|"2018"|894|
"Dunedin City"|"Total people - ethnic group"|"Total people - age group"|"North-West Europe"|"2018"|9177|
"Dunedin City"|"Total people - ethnic group"|"Total people - age group"|"Australia"|"2018"|2478|
"Dunedin City"|"Total people - ethnic group"|"Total people - age group"|"Pacific Islands"|"2018"|1434|
"Dunedin City"|"Total people - ethnic group"|"Total people - age group"|"New Zealand"|"2018"|99924|
"Queenstown-Lakes District"|"Total people - ethnic group"|"Total people - age group"|"Sub-Saharan Africa"|"2018"|459|
"Queenstown-Lakes District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Central Asia"|"2018"|843|
"Queenstown-Lakes District"|"Total people - ethnic group"|"Total people - age group"|"The Americas"|"2018"|2760|
"Queenstown-Lakes District"|"Total people - ethnic group"|"Total people - age group"|"South-East Asia"|"2018"|939|
"Queenstown-Lakes District"|"Total people - ethnic group"|"Total people - age group"|"North-East Asia"|"2018"|1383|
"Queenstown-Lakes District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Eastern Europe"|"2018"|606|
"Queenstown-Lakes District"|"Total people - ethnic group"|"Total people - age group"|"North Africa and the Middle East"|"2018"|78|
"Queenstown-Lakes District"|"Total people - ethnic group"|"Total people - age group"|"North-West Europe"|"2018"|6633|
"Queenstown-Lakes District"|"Total people - ethnic group"|"Total people - age group"|"Australia"|"2018"|1692|
"Queenstown-Lakes District"|"Total people - ethnic group"|"Total people - age group"|"Pacific Islands"|"2018"|231|
"Queenstown-Lakes District"|"Total people - ethnic group"|"Total people - age group"|"New Zealand"|"2018"|22737|
"Central Otago District"|"Total people - ethnic group"|"Total people - age group"|"Sub-Saharan Africa"|"2018"|213|
"Central Otago District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Central Asia"|"2018"|123|
"Central Otago District"|"Total people - ethnic group"|"Total people - age group"|"The Americas"|"2018"|264|
"Central Otago District"|"Total people - ethnic group"|"Total people - age group"|"South-East Asia"|"2018"|267|
"Central Otago District"|"Total people - ethnic group"|"Total people - age group"|"North-East Asia"|"2018"|102|
