Area|Ethnic group|Age group|Birthplace|Year|Value|Flags
"Tasman District"|"Total people - ethnic group"|"Total people - age group"|"Pacific Islands"|"2018"|375|
"Tasman District"|"Total people - ethnic group"|"Total people - age group"|"New Zealand"|"2018"|42030|
"South Wairarapa District"|"Total people - ethnic group"|"Total people - age group"|"Sub-Saharan Africa"|"2018"|114|
"South Wairarapa District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Central Asia"|"2018"|33|
"South Wairarapa District"|"Total people - ethnic group"|"Total people - age group"|"The Americas"|"2018"|129|
"South Wairarapa District"|"Total people - ethnic group"|"Total people - age group"|"South-East Asia"|"2018"|102|
"South Wairarapa District"|"Total people - ethnic group"|"Total people - age group"|"North-East Asia"|"2018"|42|
"South Wairarapa District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Eastern Europe"|"2018"|39|
"South Wairarapa District"|"Total people - ethnic group"|"Total people - age group"|"North Africa and the Middle East"|"2018"|3|
"South Wairarapa District"|"Total people - ethnic group"|"Total people - age group"|"North-West Europe"|"2018"|1080|
"South Wairarapa District"|"Total people - ethnic group"|"Total people - age group"|"Australia"|"2018"|213|
"South Wairarapa District"|"Total people - ethnic group"|"Total people - age group"|"Pacific Islands"|"2018"|60|
"South Wairarapa District"|"Total people - ethnic group"|"Total people - age group"|"New Zealand"|"2018"|8655|
"Carterton District"|"Total people - ethnic group"|"Total people - age group"|"Sub-Saharan Africa"|"2018"|99|
"Carterton District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Central Asia"|"2018"|54|
"Carterton District"|"Total people - ethnic group"|"Total people - age group"|"The Americas"|"2018"|87|
"Carterton District"|"Total people - ethnic group"|"Total people - age group"|"South-East Asia"|"2018"|48|
"Carterton District"|"Total people - ethnic group"|"Total people - age group"|"North-East Asia"|"2018"|21|
"Carterton District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Eastern Europe"|"2018"|18|
"Carterton District"|"Total people - ethnic group"|"Total people - age group"|"North Africa and the Middle East"|"2018"|3|
"Carterton District"|"Total people - ethnic group"|"Total people - age group"|"North-West Europe"|"2018"|984|
"Carterton District"|"Total people - ethnic group"|"Total people - age group"|"Australia"|"2018"|165|
"Carterton District"|"Total people - ethnic group"|"Total people - age group"|"Pacific Islands"|"2018"|45|
"Carterton District"|"Total people - ethnic group"|"Total people - age group"|"New Zealand"|"2018"|7596|
"Masterton District"|"Total people - ethnic group"|"Total people - age group"|"Sub-Saharan Africa"|"2018"|294|
"Masterton District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Central Asia"|"2018"|189|
"Masterton District"|"Total people - ethnic group"|"Total people - age group"|"The Americas"|"2018"|150|
"Masterton District"|"Total people - ethnic group"|"Total people - age group"|"South-East Asia"|"2018"|339|
"Masterton District"|"Total people - ethnic group"|"Total people - age group"|"North-East Asia"|"2018"|108|
"Masterton District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Eastern Europe"|"2018"|69|
"Masterton District"|"Total people - ethnic group"|"Total people - age group"|"North Africa and the Middle East"|"2018"|33|
"Masterton District"|"Total people - ethnic group"|"Total people - age group"|"North-West Europe"|"2018"|1467|
"Masterton District"|"Total people - ethnic group"|"Total people - age group"|"Australia"|"2018"|318|
"Masterton District"|"Total people - ethnic group"|"Total people - age group"|"Pacific Islands"|"2018"|333|
"Masterton District"|"Total people - ethnic group"|"Total people - age group"|"New Zealand"|"2018"|22008|
"Wellington City"|"Total people - ethnic group"|"Total people - age group"|"Sub-Saharan Africa"|"2018"|3720|
"Wellington City"|"Total people - ethnic group"|"Total people - age group"|"Southern and Central Asia"|"2018"|8100|
"Wellington City"|"Total people - ethnic group"|"Total people - age group"|"The Americas"|"2018"|5718|
"Wellington City"|"Total people - ethnic group"|"Total people - age group"|"South-East Asia"|"2018"|8541|
"Wellington City"|"Total people - ethnic group"|"Total people - age group"|"North-East Asia"|"2018"|7632|
"Wellington City"|"Total people - ethnic group"|"Total people - age group"|"Southern and Eastern Europe"|"2018"|2856|
"Wellington City"|"Total people - ethnic group"|"Total people - age group"|"North Africa and the Middle East"|"2018"|2202|
"Wellington City"|"Total people - ethnic group"|"Total people - age group"|"North-West Europe"|"2018"|20514|
"Wellington City"|"Total people - ethnic group"|"Total people - age group"|"Australia"|"2018"|3975|
"Wellington City"|"Total people - ethnic group"|"Total people - age group"|"Pacific Islands"|"2018"|4383|
"Wellington City"|"Total people - ethnic group"|"Total people - age group"|"New Zealand"|"2018"|132924|
"Lower Hutt City"|"Total people - ethnic group"|"Total people - age group"|"Sub-Saharan Africa"|"2018"|1602|
"Lower Hutt City"|"Total people - ethnic group"|"Total people - age group"|"Southern and Central Asia"|"2018"|4146|
"Lower Hutt City"|"Total people - ethnic group"|"Total people - age group"|"The Americas"|"2018"|1233|
"Lower Hutt City"|"Total people - ethnic group"|"Total people - age group"|"South-East Asia"|"2018"|3114|
"Lower Hutt City"|"Total people - ethnic group"|"Total people - age group"|"North-East Asia"|"2018"|2814|
"Lower Hutt City"|"Total people - ethnic group"|"Total people - age group"|"Southern and Eastern Europe"|"2018"|855|
"Lower Hutt City"|"Total people - ethnic group"|"Total people - age group"|"North Africa and the Middle East"|"2018"|501|
"Lower Hutt City"|"Total people - ethnic group"|"Total people - age group"|"North-West Europe"|"2018"|6342|
"Lower Hutt City"|"Total people - ethnic group"|"Total people - age group"|"Australia"|"2018"|1404|
"Lower Hutt City"|"Total people - ethnic group"|"Total people - age group"|"Pacific Islands"|"2018"|4524|
"Lower Hutt City"|"Total people - ethnic group"|"Total people - age group"|"New Zealand"|"2018"|76932|
"Upper Hutt City"|"Total people - ethnic group"|"Total people - age group"|"Sub-Saharan Africa"|"2018"|1053|
"Upper Hutt City"|"Total people - ethnic group"|"Total people - age group"|"Southern and Central Asia"|"2018"|858|
"Upper Hutt City"|"Total people - ethnic group"|"Total people - age group"|"The Americas"|"2018"|369|
"Upper Hutt City"|"Total people - ethnic group"|"Total people - age group"|"South-East Asia"|"2018"|1035|
"Upper Hutt City"|"Total people - ethnic group"|"Total people - age group"|"North-East Asia"|"2018"|474|
"Upper Hutt City"|"Total people - ethnic group"|"Total people - age group"|"Southern and Eastern Europe"|"2018"|192|
"Upper Hutt City"|"Total people - ethnic group"|"Total people - age group"|"North Africa and the Middle East"|"2018"|102|
"Upper Hutt City"|"Total people - ethnic group"|"Total people - age group"|"North-West Europe"|"2018"|3870|
"Upper Hutt City"|"Total people - ethnic group"|"Total people - age group"|"Australia"|"2018"|597|
"Upper Hutt City"|"Total people - ethnic group"|"Total people - age group"|"Pacific Islands"|"2018"|786|
"Upper Hutt City"|"Total people - ethnic group"|"Total people - age group"|"New Zealand"|"2018"|34209|
"Porirua City"|"Total people - ethnic group"|"Total people - age group"|"Sub-Saharan Africa"|"2018"|1011|
"Porirua City"|"Total people - ethnic group"|"Total people - age group"|"Southern and Central Asia"|"2018"|735|
"Porirua City"|"Total people - ethnic group"|"Total people - age group"|"The Americas"|"2018"|579|
"Porirua City"|"Total people - ethnic group"|"Total people - age group"|"South-East Asia"|"2018"|1317|
"Porirua City"|"Total people - ethnic group"|"Total people - age group"|"North-East Asia"|"2018"|594|
"Porirua City"|"Total people - ethnic group"|"Total people - age group"|"Southern and Eastern Europe"|"2018"|273|
"Porirua City"|"Total people - ethnic group"|"Total people - age group"|"North Africa and the Middle East"|"2018"|306|
"Porirua City"|"Total people - ethnic group"|"Total people - age group"|"North-West Europe"|"2018"|3639|
"Porirua City"|"Total people - ethnic group"|"Total people - age group"|"Australia"|"2018"|783|
"Porirua City"|"Total people - ethnic group"|"Total people - age group"|"Pacific Islands"|"2018"|4644|
"Porirua City"|"Total people - ethnic group"|"Total people - age group"|"New Zealand"|"2018"|42015|
"Kapiti Coast District"|"Total people - ethnic group"|"Total people - age group"|"Sub-Saharan Africa"|"2018"|1002|
"Kapiti Coast District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Central Asia"|"2018"|357|
"Kapiti Coast District"|"Total people - ethnic group"|"Total people - age group"|"The Americas"|"2018"|636|
"Kapiti Coast District"|"Total people - ethnic group"|"Total people - age group"|"South-East Asia"|"2018"|846|
"Kapiti Coast District"|"Total people - ethnic group"|"Total people - age group"|"North-East Asia"|"2018"|444|
"Kapiti Coast District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Eastern Europe"|"2018"|333|
"Kapiti Coast District"|"Total people - ethnic group"|"Total people - age group"|"North Africa and the Middle East"|"2018"|99|
"Kapiti Coast District"|"Total people - ethnic group"|"Total people - age group"|"North-West Europe"|"2018"|7068|
"Kapiti Coast District"|"Total people - ethnic group"|"Total people - age group"|"Australia"|"2018"|942|
"Kapiti Coast District"|"Total people - ethnic group"|"Total people - age group"|"Pacific Islands"|"2018"|387|
"Kapiti Coast District"|"Total people - ethnic group"|"Total people - age group"|"New Zealand"|"2018"|41058|
"Horowhenua District"|"Total people - ethnic group"|"Total people - age group"|"Sub-Saharan Africa"|"2018"|231|
"Horowhenua District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Central Asia"|"2018"|174|
"Horowhenua District"|"Total people - ethnic group"|"Total people - age group"|"The Americas"|"2018"|183|
"Horowhenua District"|"Total people - ethnic group"|"Total people - age group"|"South-East Asia"|"2018"|378|
"Horowhenua District"|"Total people - ethnic group"|"Total people - age group"|"North-East Asia"|"2018"|282|
"Horowhenua District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Eastern Europe"|"2018"|81|
"Horowhenua District"|"Total people - ethnic group"|"Total people - age group"|"North Africa and the Middle East"|"2018"|18|
"Horowhenua District"|"Total people - ethnic group"|"Total people - age group"|"North-West Europe"|"2018"|2151|
"Horowhenua District"|"Total people - ethnic group"|"Total people - age group"|"Australia"|"2018"|510|
"Horowhenua District"|"Total people - ethnic group"|"Total people - age group"|"Pacific Islands"|"2018"|693|
"Horowhenua District"|"Total people - ethnic group"|"Total people - age group"|"New Zealand"|"2018"|28215|
"Tararua District"|"Total people - ethnic group"|"Total people - age group"|"Sub-Saharan Africa"|"2018"|93|
"Tararua District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Central Asia"|"2018"|66|
"Tararua District"|"Total people - ethnic group"|"Total people - age group"|"The Americas"|"2018"|69|
"Tararua District"|"Total people - ethnic group"|"Total people - age group"|"South-East Asia"|"2018"|168|
"Tararua District"|"Total people - ethnic group"|"Total people - age group"|"North-East Asia"|"2018"|54|
"Tararua District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Eastern Europe"|"2018"|30|
"Tararua District"|"Total people - ethnic group"|"Total people - age group"|"North Africa and the Middle East"|"2018"|3|
"Tararua District"|"Total people - ethnic group"|"Total people - age group"|"North-West Europe"|"2018"|726|
"Tararua District"|"Total people - ethnic group"|"Total people - age group"|"Australia"|"2018"|267|
"Tararua District"|"Total people - ethnic group"|"Total people - age group"|"Pacific Islands"|"2018"|78|
"Tararua District"|"Total people - ethnic group"|"Total people - age group"|"New Zealand"|"2018"|16209|
"Palmerston North City"|"Total people - ethnic group"|"Total people - age group"|"Sub-Saharan Africa"|"2018"|1344|
"Palmerston North City"|"Total people - ethnic group"|"Total people - age group"|"Southern and Central Asia"|"2018"|2694|
"Palmerston North City"|"Total people - ethnic group"|"Total people - age group"|"The Americas"|"2018"|918|
"Palmerston North City"|"Total people - ethnic group"|"Total people - age group"|"South-East Asia"|"2018"|2244|
"Palmerston North City"|"Total people - ethnic group"|"Total people - age group"|"North-East Asia"|"2018"|2277|
"Palmerston North City"|"Total people - ethnic group"|"Total people - age group"|"Southern and Eastern Europe"|"2018"|324|
"Palmerston North City"|"Total people - ethnic group"|"Total people - age group"|"North Africa and the Middle East"|"2018"|390|
"Palmerston North City"|"Total people - ethnic group"|"Total people - age group"|"North-West Europe"|"2018"|4248|
"Palmerston North City"|"Total people - ethnic group"|"Total people - age group"|"Australia"|"2018"|1155|
"Palmerston North City"|"Total people - ethnic group"|"Total people - age group"|"Pacific Islands"|"2018"|1530|
"Palmerston North City"|"Total people - ethnic group"|"Total people - age group"|"New Zealand"|"2018"|66519|
"Manawatu District"|"Total people - ethnic group"|"Total people - age group"|"Sub-Saharan Africa"|"2018"|222|
"Manawatu District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Central Asia"|"2018"|165|
"Manawatu District"|"Total people - ethnic group"|"Total people - age group"|"The Americas"|"2018"|183|
"Manawatu District"|"Total people - ethnic group"|"Total people - age group"|"South-East Asia"|"2018"|231|
"Manawatu District"|"Total people - ethnic group"|"Total people - age group"|"North-East Asia"|"2018"|84|
"Manawatu District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Eastern Europe"|"2018"|51|
"Manawatu District"|"Total people - ethnic group"|"Total people - age group"|"North Africa and the Middle East"|"2018"|6|
"Manawatu District"|"Total people - ethnic group"|"Total people - age group"|"North-West Europe"|"2018"|1719|
"Manawatu District"|"Total people - ethnic group"|"Total people - age group"|"Australia"|"2018"|387|
"Manawatu District"|"Total people - ethnic group"|"Total people - age group"|"Pacific Islands"|"2018"|141|
"Manawatu District"|"Total people - ethnic group"|"Total people - age group"|"New Zealand"|"2018"|26700|
"Rangitikei District"|"Total people - ethnic group"|"Total people - age group"|"Sub-Saharan Africa"|"2018"|102|
"Rangitikei District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Central Asia"|"2018"|51|
"Rangitikei District"|"Total people - ethnic group"|"Total people - age group"|"The Americas"|"2018"|84|
"Rangitikei District"|"Total people - ethnic group"|"Total people - age group"|"South-East Asia"|"2018"|132|
"Rangitikei District"|"Total people - ethnic group"|"Total people - age group"|"North-East Asia"|"2018"|45|
"Rangitikei District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Eastern Europe"|"2018"|24|
"Rangitikei District"|"Total people - ethnic group"|"Total people - age group"|"North Africa and the Middle East"|"2018"|6|
"Rangitikei District"|"Total people - ethnic group"|"Total people - age group"|"North-West Europe"|"2018"|726|
"Rangitikei District"|"Total people - ethnic group"|"Total people - age group"|"Australia"|"2018"|216|
"Rangitikei District"|"Total people - ethnic group"|"Total people - age group"|"Pacific Islands"|"2018"|438|
"Rangitikei District"|"Total people - ethnic group"|"Total people - age group"|"New Zealand"|"2018"|13047|
"Whanganui District"|"Total people - ethnic group"|"Total people - age group"|"Sub-Saharan Africa"|"2018"|429|
"Whanganui District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Central Asia"|"2018"|384|
"Whanganui District"|"Total people - ethnic group"|"Total people - age group"|"The Americas"|"2018"|333|
"Whanganui District"|"Total people - ethnic group"|"Total people - age group"|"South-East Asia"|"2018"|399|
"Whanganui District"|"Total people - ethnic group"|"Total people - age group"|"North-East Asia"|"2018"|384|
"Whanganui District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Eastern Europe"|"2018"|120|
"Whanganui District"|"Total people - ethnic group"|"Total people - age group"|"North Africa and the Middle East"|"2018"|57|
"Whanganui District"|"Total people - ethnic group"|"Total people - age group"|"North-West Europe"|"2018"|2265|
"Whanganui District"|"Total people - ethnic group"|"Total people - age group"|"Australia"|"2018"|690|
"Whanganui District"|"Total people - ethnic group"|"Total people - age group"|"Pacific Islands"|"2018"|528|
"Whanganui District"|"Total people - ethnic group"|"Total people - age group"|"New Zealand"|"2018"|39174|
"Ruapehu District"|"Total people - ethnic group"|"Total people - age group"|"Sub-Saharan Africa"|"2018"|120|
"Ruapehu District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Central Asia"|"2018"|99|
"Ruapehu District"|"Total people - ethnic group"|"Total people - age group"|"The Americas"|"2018"|81|
"Ruapehu District"|"Total people - ethnic group"|"Total people - age group"|"South-East Asia"|"2018"|111|
"Ruapehu District"|"Total people - ethnic group"|"Total people - age group"|"North-East Asia"|"2018"|48|
"Ruapehu District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Eastern Europe"|"2018"|42|
"Ruapehu District"|"Total people - ethnic group"|"Total people - age group"|"North Africa and the Middle East"|"2018"|6|
"Ruapehu District"|"Total people - ethnic group"|"Total people - age group"|"North-West Europe"|"2018"|507|
"Ruapehu District"|"Total people - ethnic group"|"Total people - age group"|"Australia"|"2018"|198|
"Ruapehu District"|"Total people - ethnic group"|"Total people - age group"|"Pacific Islands"|"2018"|60|
"Ruapehu District"|"Total people - ethnic group"|"Total people - age group"|"New Zealand"|"2018"|10806|
"South Taranaki District"|"Total people - ethnic group"|"Total people - age group"|"Sub-Saharan Africa"|"2018"|276|
"South Taranaki District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Central Asia"|"2018"|162|
"South Taranaki District"|"Total people - ethnic group"|"Total people - age group"|"The Americas"|"2018"|129|
"South Taranaki District"|"Total people - ethnic group"|"Total people - age group"|"South-East Asia"|"2018"|351|
"South Taranaki District"|"Total people - ethnic group"|"Total people - age group"|"North-East Asia"|"2018"|78|
"South Taranaki District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Eastern Europe"|"2018"|42|
"South Taranaki District"|"Total people - ethnic group"|"Total people - age group"|"North Africa and the Middle East"|"2018"|3|
"South Taranaki District"|"Total people - ethnic group"|"Total people - age group"|"North-West Europe"|"2018"|864|
"South Taranaki District"|"Total people - ethnic group"|"Total people - age group"|"Australia"|"2018"|381|
"South Taranaki District"|"Total people - ethnic group"|"Total people - age group"|"Pacific Islands"|"2018"|168|
"South Taranaki District"|"Total people - ethnic group"|"Total people - age group"|"New Zealand"|"2018"|24810|
"Stratford District"|"Total people - ethnic group"|"Total people - age group"|"Sub-Saharan Africa"|"2018"|117|
"Stratford District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Central Asia"|"2018"|42|
"Stratford District"|"Total people - ethnic group"|"Total people - age group"|"The Americas"|"2018"|39|
"Stratford District"|"Total people - ethnic group"|"Total people - age group"|"South-East Asia"|"2018"|81|
"Stratford District"|"Total people - ethnic group"|"Total people - age group"|"North-East Asia"|"2018"|24|
"Stratford District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Eastern Europe"|"2018"|9|
"Stratford District"|"Total people - ethnic group"|"Total people - age group"|"North Africa and the Middle East"|"2018"|6|
"Stratford District"|"Total people - ethnic group"|"Total people - age group"|"North-West Europe"|"2018"|411|
"Stratford District"|"Total people - ethnic group"|"Total people - age group"|"Australia"|"2018"|108|
"Stratford District"|"Total people - ethnic group"|"Total people - age group"|"Pacific Islands"|"2018"|45|
"Stratford District"|"Total people - ethnic group"|"Total people - age group"|"New Zealand"|"2018"|8529|
"New Plymouth District"|"Total people - ethnic group"|"Total people - age group"|"Sub-Saharan Africa"|"2018"|1194|
"New Plymouth District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Central Asia"|"2018"|1065|
"New Plymouth District"|"Total people - ethnic group"|"Total people - age group"|"The Americas"|"2018"|834|
"New Plymouth District"|"Total people - ethnic group"|"Total people - age group"|"South-East Asia"|"2018"|1068|
"New Plymouth District"|"Total people - ethnic group"|"Total people - age group"|"North-East Asia"|"2018"|690|
"New Plymouth District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Eastern Europe"|"2018"|270|
"New Plymouth District"|"Total people - ethnic group"|"Total people - age group"|"North Africa and the Middle East"|"2018"|204|
"New Plymouth District"|"Total people - ethnic group"|"Total people - age group"|"North-West Europe"|"2018"|5223|
"New Plymouth District"|"Total people - ethnic group"|"Total people - age group"|"Australia"|"2018"|1476|
"New Plymouth District"|"Total people - ethnic group"|"Total people - age group"|"Pacific Islands"|"2018"|660|
"New Plymouth District"|"Total people - ethnic group"|"Total people - age group"|"New Zealand"|"2018"|67293|
"Central Hawke's Bay District"|"Total people - ethnic group"|"Total people - age group"|"Sub-Saharan Africa"|"2018"|132|
"Central Hawke's Bay District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Central Asia"|"2018"|48|
"Central Hawke's Bay District"|"Total people - ethnic group"|"Total people - age group"|"The Americas"|"2018"|78|
"Central Hawke's Bay District"|"Total people - ethnic group"|"Total people - age group"|"South-East Asia"|"2018"|180|
"Central Hawke's Bay District"|"Total people - ethnic group"|"Total people - age group"|"North-East Asia"|"2018"|30|
"Central Hawke's Bay District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Eastern Europe"|"2018"|27|
"Central Hawke's Bay District"|"Total people - ethnic group"|"Total people - age group"|"North Africa and the Middle East"|"2018"|6|
"Central Hawke's Bay District"|"Total people - ethnic group"|"Total people - age group"|"North-West Europe"|"2018"|882|
"Central Hawke's Bay District"|"Total people - ethnic group"|"Total people - age group"|"Australia"|"2018"|201|
"Central Hawke's Bay District"|"Total people - ethnic group"|"Total people - age group"|"Pacific Islands"|"2018"|117|
"Central Hawke's Bay District"|"Total people - ethnic group"|"Total people - age group"|"New Zealand"|"2018"|12279|
"Napier City"|"Total people - ethnic group"|"Total people - age group"|"Sub-Saharan Africa"|"2018"|759|
"Napier City"|"Total people - ethnic group"|"Total people - age group"|"Southern and Central Asia"|"2018"|651|
"Napier City"|"Total people - ethnic group"|"Total people - age group"|"The Americas"|"2018"|498|
"Napier City"|"Total people - ethnic group"|"Total people - age group"|"South-East Asia"|"2018"|723|
"Napier City"|"Total people - ethnic group"|"Total people - age group"|"North-East Asia"|"2018"|792|
"Napier City"|"Total people - ethnic group"|"Total people - age group"|"Southern and Eastern Europe"|"2018"|261|
"Napier City"|"Total people - ethnic group"|"Total people - age group"|"North Africa and the Middle East"|"2018"|141|
"Napier City"|"Total people - ethnic group"|"Total people - age group"|"North-West Europe"|"2018"|4563|
"Napier City"|"Total people - ethnic group"|"Total people - age group"|"Australia"|"2018"|1008|
"Napier City"|"Total people - ethnic group"|"Total people - age group"|"Pacific Islands"|"2018"|747|
"Napier City"|"Total people - ethnic group"|"Total people - age group"|"New Zealand"|"2018"|51507|
"Hastings District"|"Total people - ethnic group"|"Total people - age group"|"Sub-Saharan Africa"|"2018"|996|
"Hastings District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Central Asia"|"2018"|1629|
"Hastings District"|"Total people - ethnic group"|"Total people - age group"|"The Americas"|"2018"|615|
"Hastings District"|"Total people - ethnic group"|"Total people - age group"|"South-East Asia"|"2018"|999|
"Hastings District"|"Total people - ethnic group"|"Total people - age group"|"North-East Asia"|"2018"|477|
"Hastings District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Eastern Europe"|"2018"|240|
"Hastings District"|"Total people - ethnic group"|"Total people - age group"|"North Africa and the Middle East"|"2018"|99|
"Hastings District"|"Total people - ethnic group"|"Total people - age group"|"North-West Europe"|"2018"|4923|
"Hastings District"|"Total people - ethnic group"|"Total people - age group"|"Australia"|"2018"|1281|
"Hastings District"|"Total people - ethnic group"|"Total people - age group"|"Pacific Islands"|"2018"|2733|
"Hastings District"|"Total people - ethnic group"|"Total people - age group"|"New Zealand"|"2018"|66528|
"Wairoa District"|"Total people - ethnic group"|"Total people - age group"|"Sub-Saharan Africa"|"2018"|27|
"Wairoa District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Central Asia"|"2018"|24|
"Wairoa District"|"Total people - ethnic group"|"Total people - age group"|"The Americas"|"2018"|42|
"Wairoa District"|"Total people - ethnic group"|"Total people - age group"|"South-East Asia"|"2018"|51|
"Wairoa District"|"Total people - ethnic group"|"Total people - age group"|"North-East Asia"|"2018"|24|
"Wairoa District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Eastern Europe"|"2018"|6|
"Wairoa District"|"Total people - ethnic group"|"Total people - age group"|"North Africa and the Middle East"|"2018"|6|
"Wairoa District"|"Total people - ethnic group"|"Total people - age group"|"North-West Europe"|"2018"|171|
"Wairoa District"|"Total people - ethnic group"|"Total people - age group"|"Australia"|"2018"|132|
"Wairoa District"|"Total people - ethnic group"|"Total people - age group"|"Pacific Islands"|"2018"|87|
"Wairoa District"|"Total people - ethnic group"|"Total people - age group"|"New Zealand"|"2018"|7671|
"Gisborne District"|"Total people - ethnic group"|"Total people - age group"|"Sub-Saharan Africa"|"2018"|339|
"Gisborne District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Central Asia"|"2018"|315|
"Gisborne District"|"Total people - ethnic group"|"Total people - age group"|"The Americas"|"2018"|372|
"Gisborne District"|"Total people - ethnic group"|"Total people - age group"|"South-East Asia"|"2018"|249|
"Gisborne District"|"Total people - ethnic group"|"Total people - age group"|"North-East Asia"|"2018"|195|
"Gisborne District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Eastern Europe"|"2018"|96|
"Gisborne District"|"Total people - ethnic group"|"Total people - age group"|"North Africa and the Middle East"|"2018"|15|
"Gisborne District"|"Total people - ethnic group"|"Total people - age group"|"North-West Europe"|"2018"|1785|
"Gisborne District"|"Total people - ethnic group"|"Total people - age group"|"Australia"|"2018"|684|
"Gisborne District"|"Total people - ethnic group"|"Total people - age group"|"Pacific Islands"|"2018"|561|
"Gisborne District"|"Total people - ethnic group"|"Total people - age group"|"New Zealand"|"2018"|42240|
"Opotiki District"|"Total people - ethnic group"|"Total people - age group"|"Sub-Saharan Africa"|"2018"|15|
"Opotiki District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Central Asia"|"2018"|90|
"Opotiki District"|"Total people - ethnic group"|"Total people - age group"|"The Americas"|"2018"|36|
"Opotiki District"|"Total people - ethnic group"|"Total people - age group"|"South-East Asia"|"2018"|45|
"Opotiki District"|"Total people - ethnic group"|"Total people - age group"|"North-East Asia"|"2018"|27|
"Opotiki District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Eastern Europe"|"2018"|21|
"Opotiki District"|"Total people - ethnic group"|"Total people - age group"|"North Africa and the Middle East"|"2018"|0|
"Opotiki District"|"Total people - ethnic group"|"Total people - age group"|"North-West Europe"|"2018"|318|
"Opotiki District"|"Total people - ethnic group"|"Total people - age group"|"Australia"|"2018"|138|
"Opotiki District"|"Total people - ethnic group"|"Total people - age group"|"Pacific Islands"|"2018"|69|
"Opotiki District"|"Total people - ethnic group"|"Total people - age group"|"New Zealand"|"2018"|8331|
"Kawerau District"|"Total people - ethnic group"|"Total people - age group"|"Sub-Saharan Africa"|"2018"|48|
"Kawerau District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Central Asia"|"2018"|27|
"Kawerau District"|"Total people - ethnic group"|"Total people - age group"|"The Americas"|"2018"|18|
"Kawerau District"|"Total people - ethnic group"|"Total people - age group"|"South-East Asia"|"2018"|63|
"Kawerau District"|"Total people - ethnic group"|"Total people - age group"|"North-East Asia"|"2018"|24|
"Kawerau District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Eastern Europe"|"2018"|9|
"Kawerau District"|"Total people - ethnic group"|"Total people - age group"|"North Africa and the Middle East"|"2018"|6|
"Kawerau District"|"Total people - ethnic group"|"Total people - age group"|"North-West Europe"|"2018"|360|
"Kawerau District"|"Total people - ethnic group"|"Total people - age group"|"Australia"|"2018"|120|
"Kawerau District"|"Total people - ethnic group"|"Total people - age group"|"Pacific Islands"|"2018"|51|
"Kawerau District"|"Total people - ethnic group"|"Total people - age group"|"New Zealand"|"2018"|6309|
"Whakatane District"|"Total people - ethnic group"|"Total people - age group"|"Sub-Saharan Africa"|"2018"|372|
"Whakatane District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Central Asia"|"2018"|309|
"Whakatane District"|"Total people - ethnic group"|"Total people - age group"|"The Americas"|"2018"|267|
"Whakatane District"|"Total people - ethnic group"|"Total people - age group"|"South-East Asia"|"2018"|333|
"Whakatane District"|"Total people - ethnic group"|"Total people - age group"|"North-East Asia"|"2018"|141|
"Whakatane District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Eastern Europe"|"2018"|60|
"Whakatane District"|"Total people - ethnic group"|"Total people - age group"|"North Africa and the Middle East"|"2018"|33|
"Whakatane District"|"Total people - ethnic group"|"Total people - age group"|"North-West Europe"|"2018"|2007|
"Whakatane District"|"Total people - ethnic group"|"Total people - age group"|"Australia"|"2018"|564|
